t	y	dy	ddy
2.005698302135038968e+00	6.535057653472260419e-01	6.311800093867079298e-01	2.662203766325108578e-01
2.015698302135038755e+00	6.598308619388464358e-01	6.338378544897698141e-01	2.653477205448520060e-01
2.025698302135038542e+00	6.661824932565160173e-01	6.364869453941532917e-01	2.644695433133816831e-01
2.035698302135038329e+00	6.725605714828359893e-01	6.391272270823457058e-01	2.635858838665659509e-01
2.045698302135038116e+00	6.789650082521933028e-01	6.417586449304133467e-01	2.626967819911010249e-01
2.055698302135037903e+00	6.853957146547389190e-01	6.443811447165627149e-01	2.618022783274588372e-01
2.065698302135037689e+00	6.918526012404523362e-01	6.469946726296542661e-01	2.609024143652172723e-01
2.075698302135037476e+00	6.983355780232899379e-01	6.495991752776694161e-01	2.599972324381748523e-01
2.085698302135037263e+00	7.048445544854188283e-01	6.521945996961276970e-01	2.590867757192502063e-01
2.095698302135037050e+00	7.113794395815337124e-01	6.547808933564511769e-01	2.581710882151665443e-01
2.105698302135036837e+00	7.179401417432579313e-01	6.573580041742754787e-01	2.572502147609211920e-01
2.115698302135036624e+00	7.245265688836265427e-01	6.599258805177035114e-01	2.563242010140411309e-01
2.125698302135036410e+00	7.311386284016520021e-01	6.624844712155013582e-01	2.553930934486245419e-01
2.135698302135036197e+00	7.377762271869718891e-01	6.650337255652334356e-01	2.544569393491691867e-01
2.145698302135035984e+00	7.444392716245767927e-01	6.675735933413345924e-01	2.535157868041884588e-01
2.155698302135035771e+00	7.511276675996196861e-01	6.701040248031173707e-01	2.525696846996154377e-01
2.165698302135035558e+00	7.578413205023040167e-01	6.726249707027127656e-01	2.516186827119963332e-01
2.175698302135035345e+00	7.645801352328515099e-01	6.751363822929408176e-01	2.506628313014735432e-01
2.185698302135035131e+00	7.713440162065480221e-01	6.776382113351110403e-01	2.497021817045603775e-01
2.195698302135034918e+00	7.781328673588672196e-01	6.801304101067491281e-01	2.487367859267074766e-01
2.205698302135034705e+00	7.849465921506710853e-01	6.826129314092482803e-01	2.477666967346628668e-01
2.215698302135034492e+00	7.917850935734861428e-01	6.850857285754429205e-01	2.467919676486266256e-01
2.225698302135034279e+00	7.986482741548562858e-01	6.875487554771032572e-01	2.458126529342015698e-01
2.235698302135034066e+00	8.055360359637681045e-01	6.900019665323484652e-01	2.448288075941415232e-01
2.245698302135033853e+00	8.124482806161521520e-01	6.924453167129756004e-01	2.438404873598986333e-01
2.255698302135033639e+00	8.193849092804552647e-01	6.948787615517040273e-01	2.428477486829714316e-01
2.265698302135033426e+00	8.263458226832861575e-01	6.973022571493313615e-01	2.418506487260551896e-01
2.275698302135033213e+00	8.333309211151312956e-01	6.997157601818005945e-01	2.408492453539965994e-01
2.285698302135033000e+00	8.403401044361413774e-01	7.021192279071752917e-01	2.398435971245546916e-01
2.295698302135032787e+00	8.473732720819870945e-01	7.045126181725225312e-01	2.388337632789696297e-01
2.305698302135032574e+00	8.544303230697831708e-01	7.068958894206985866e-01	2.378198037323418779e-01
2.315698302135032360e+00	8.615111560040796812e-01	7.092690006970396865e-01	2.368017790638235753e-01
2.325698302135032147e+00	8.686156690829199833e-01	7.116319116559519653e-01	2.357797505066244748e-01
